business_date;client_id;client_type;full_name;first_name;last_name;company_name;date_of_birth;registration_no;address_line_1;city;postal_code;country_code;pep_flag;high_risk_flag;client_status;document_id;tax_id;phone_number;email;kyc_status;risk_score;relationship_purpose_code;expected_activity_level;source_of_funds_declared;source_of_wealth_declared
2026-03-26;5012;PRIVATE;Luke Skywalker;Luke;Skywalker;;1985-05-04;;12 Falcon Street;Warsaw;00-101;PL;0;0;ACTIVE;XD-5366-5F0D-5A47;TX-BD5F-A3A2-FB7E;+9994473805;luke.skywalker.dee43@demo-no-match.invalid;MANUAL_CHECK;941;;;;
2026-03-26;8841;PRIVATE;Leia Organa;Leia;Organa;;1986-10-21;;7 Alderaan Avenue;Paris;75008;FR;1;0;ACTIVE;XD-6144-73D3-B9EF;TX-38BD-2029-6A92;+9990662971;leia.organa.727f3@demo-no-match.invalid;REVIEW;293;;;;
2026-03-26;2290;PRIVATE;Bruce Wayne;Bruce;Wayne;;1978-02-19;;100 Manor Road;Madrid;28013;ES;1;0;ACTIVE;XD-CD33-F0FE-4119;TX-BE26-04D3-84B2;+9992666757;bruce.wayne.7df14@demo-no-match.invalid;PASS;497;;;;
2026-03-26;9910;BUSINESS;Wayne Enterprises;;;Wayne Enterprises;;WE-9910;1 Gotham Plaza;Amsterdam;1012AB;NL;0;0;ACTIVE;XD-A71B-5CA3-7500;TX-C3DE-96EF-FFE1;+9993406895;wayne.enterprises.67fd9@demo-no-match.invalid;PENDING;956;;;;
2026-03-26;7711;PRIVATE;Sarah Connor;Sarah;Connor;;1980-11-13;;44 Future Lane;Krakow;30-002;PL;0;1;ARCHIVED;XD-3151-0045-06AB;TX-D8BD-752B-EBD4;+9992965945;sarah.connor.18b7d@demo-no-match.invalid;PENDING;268;;;;
2026-03-26;6402;PRIVATE;Ellen Ripley;Ellen;Ripley;;1979-01-14;;9 Nostromo Street;Berlin;10115;DE;0;0;ACTIVE;XD-3F6F-204B-4EFE;TX-D60A-99B9-657A;+9998798068;ellen.ripley.71433@demo-no-match.invalid;LIMITED;551;;;;
2026-03-26;1188;PRIVATE;Bilbo Baggins;Bilbo;Baggins;;1975-09-22;;1 Shire Crescent;Rotterdam;3011AA;NL;0;0;ACTIVE;XD-6B56-3996-9327;TX-A6EE-73B0-796D;+9999626791;bilbo.baggins.98595@demo-no-match.invalid;MANUAL_CHECK;279;;;;
2026-03-26;4507;BUSINESS;Stark Industries;;;Stark Industries;;ST-4507;108 Arc Reactor Blvd;Lyon;69002;FR;1;1;ACTIVE;XD-98D9-99F2-8BEE;TX-321D-28C4-22BD;+9993993630;stark.industries.33a62@demo-no-match.invalid;LIMITED;258;;;;
2026-03-26;3360;PRIVATE;Lara Croft;Lara;Croft;;1988-02-14;;18 Raider Way;Barcelona;08001;ES;0;0;ACTIVE;XD-434D-95D8-6AD9;TX-1712-28DF-F2D2;+9991049366;lara.croft.df282@demo-no-match.invalid;MANUAL_CHECK;232;;;;
2026-03-26;9021;PRIVATE;Marty McFly;Marty;McFly;;1987-06-12;;88 Clocktower Road;Rome;00186;IT;0;0;ARCHIVED;XD-FE1A-040E-EE93;TX-0A33-8153-FBDD;+9992866230;marty.mcfly.a9129@demo-no-match.invalid;PASS;910;;;;
2026-03-26;7773;BUSINESS;Oscorp Labs;;;Oscorp Labs;;OS-7773;22 Spider Square;Prague;11000;CZ;0;1;ACTIVE;XD-C85A-EA7B-98BE;TX-43EE-7735-B964;+9990387665;oscorp.labs.f47d2@demo-no-match.invalid;PENDING;796;;;;
2026-03-26;2234;BUSINESS;Wonka Industries;;;Wonka Industries;;WI-2234;5 Cocoa Wharf;Vilnius;01103;LT;0;0;ACTIVE;XD-92CC-EFB7-73D4;TX-1EC3-F304-5828;+9990317939;wonka.industries.8fdd2@demo-no-match.invalid;LIMITED;468;;;;
