business_date;client_id;client_type;full_name;first_name;last_name;company_name;date_of_birth;registration_no;address_line_1;city;postal_code;country_code;pep_flag;high_risk_flag;client_status;document_id;tax_id;phone_number;email;kyc_status;risk_score
2026-04-09;8401; private ;Anna Normalize;Anna;Normalize;;1991-01-05;;1 River Road;Warsaw;00-201; pl ;0;0; active ;XD-8401-NORM;TX-8401-NORM;+9998401001;anna.normalize.8401@demo-no-match.invalid; review ;0
2026-04-09;8402; business ;Acme Normalize GmbH;;;Acme Normalize GmbH;;ACME-8402;22 Data Platz;Berlin;10115; de ;0;1; archived ;XD-8402-NORM;TX-8402-NORM;+9998402002;acme.normalize.8402@demo-no-match.invalid; pending ;999
2026-04-09;8403;PRIVATE;Risk Too High;Risk;TooHigh;;1988-02-03;;3 Overflow Lane;Prague;11000;CZ;0;0;ACTIVE;XD-8403-OVER;TX-8403-OVER;+9998403003;risk.toohigh.8403@demo-no-match.invalid;PASS;1000
2026-04-09;8404;PRIVATE;Risk Not Numeric;Risk;NotNumeric;;1987-04-04;;4 Parse Street;Vienna;1010;AT;0;0;ACTIVE;XD-8404-TEXT;TX-8404-TEXT;+9998404004;risk.notnumeric.8404@demo-no-match.invalid;REVIEW;NOT_A_NUMBER
2026-04-09;8405;PRIVATE;Kyc Too Long;Kyc;TooLong;;1986-05-05;;5 Length Road;Paris;75009;FR;0;0;ACTIVE;XD-8405-LONG;TX-8405-LONG;+9998405005;kyc.toolong.8405@demo-no-match.invalid;THIS_STATUS_IS_LONGER_THAN_THIRTY_CHARS;450
2026-04-09;8406;PRIVATE;Client Status Invalid;Client;Invalid;;1985-06-06;;6 Status Avenue;Madrid;28013;ES;0;0;BLOCKED;XD-8406-STAT;TX-8406-STAT;+9998406006;client.status.invalid.8406@demo-no-match.invalid;REVIEW;333
2026-04-09;8401;PRIVATE;Anna Normalize Duplicate;Anna;Normalize;;1991-01-05;;7 Duplicate Road;Warsaw;00-202;PL;0;0;ACTIVE;XD-8401-DUP;TX-8401-DUP;+9998401007;anna.normalize.8401.dup@demo-no-match.invalid;REVIEW;NOT_A_NUMBER
2026-04-09;8407;PRIVATE;Email Invalid;Email;Invalid;;1984-07-07;;8 Mail Road;Vilnius;01103;LT;0;0;ACTIVE;XD-8407-MAIL;TX-8407-MAIL;+9998407007;email.invalid.8407.demo-no-match.invalid;PASS;222
2026-04-09;8408;PRIVATE;Phone Invalid;Phone;Invalid;;1983-08-08;;9 Phone Road;Amsterdam;1012;NL;0;0;ACTIVE;XD-8408-PHONE;TX-8408-PHONE;00498408008;phone.invalid.8408@demo-no-match.invalid;LIMITED;111
2026-04-09;8409;PRIVATE;Kyc Unsupported;Kyc;Unsupported;;1982-09-09;;10 Kyc Road;Rome;00186;IT;0;0;ACTIVE;XD-8409-KYC;TX-8409-KYC;+9998409009;kyc.unsupported.8409@demo-no-match.invalid;ESCALATED;444
