transfer_id;client_id;source_account;target_account;amount;currency_code;transfer_ts;transfer_status;channel;country_code;transfer_title
500101;9501;PL00114020040000300201355387;DE00500105170648489890;450.00; EUR ;2026-04-15 08:15:00; completed ; web ; pl ; Yellow Brick cottage rent
500102;9501;PL00114020040000300201355388;PL28114020040000300201355387;980.00;PLN;2026-04-15 08:45:00;COMPLETED;MOBILE;PL;Munchkin grocery basket
500103;9502;PL00114020040000300201355389;DE12500105170648489891;300.00;EUR;2026-04-15 09:05:00;COMPLETED;BRANCH;PL;Alderaan senate living costs
500104;9505;FR7612345987650123456789014;ES9121000418450200051332;850.00;EUR;2026-04-15 09:35:00;COMPLETED;WEB;FR;Neverland inn booking May
500105;9507;PL00114020040000300201355390;PL28114020040000300201355388;1250.00;EUR;2026-04-15 10:05:00;PENDING;MOBILE;PL;Shire savings pocket
500106;9504;DE13500105170648489890;GB29NWBK60161331926819;3500.00;GBP;2026-04-15 10:25:00;COMPLETED;API;DE;Coyote foundry invoice 2026_0415
500107;9509;DE12500105170648489892;PL28114020040000300201355389;18000.00;EUR;2026-04-15 10:50:00;COMPLETED;WEB;DE;Metropolis penthouse deposit
500108;9510;PL00114020040000300201355391;US12345678901234567890123456789012;20000.00;USD;2026-04-15 11:10:00;COMPLETED;BRANCH;PL;Sleigh coach advance
500109;9504;CZ6508000000192000145399;DE12500105170648489893;900000.00;CZK;2026-04-15 11:35:00;COMPLETED;API;CZ;Roadrunner machinery invoice 2026_88
500110;9503;LT121000011101001000;DE12500105170648489894;4200.00;USD;2026-04-15 12:05:00;COMPLETED;MOBILE;LT; Dragon coin exchange topup 
500111;9508;LT121000011101001001;PL28114020040000300201355390;7000.00;PLN;2026-04-15 12:20:00;COMPLETED;WEB;PL;Cave of Wonders cash return
500112;9506;PL00114020040000300201355392;DE12500105170648489895;6500.00;EUR;2026-04-15 12:45:00;COMPLETED;API;DE;Goblin vault settlement
500113;9506;PL00114020040000300201355393;GB29NWBK60161331926820;25000.00;GBP;2026-04-15 13:10:00;COMPLETED;API;GB;Phoenix feather OTC settlement
500114;9508;PL00114020040000300201355394;PL28114020040000300201355391;120000.00;PLN;2026-04-15 13:40:00;COMPLETED;BRANCH;PL;Cave of Wonders cash withdrawal
500115;9502;PL00114020040000300201355395;US12345678901234567890123456789013;1400.00;USD;2026-04-15 14:00:00;PENDING;WEB;US;Jedi academy tuition September
500116;9503;PL00114020040000300201355396;PL28114020040000300201355392;950.00;EUR;2026-04-15 14:25:00;COMPLETED;MOBILE;PL;Dalmatian manor rent share July
500117;9501;PL00114020040000300201355397;US12345678901234567890123456789014;220.00;USD;2026-04-15 14:50:00;COMPLETED;WEB;US;Emerald City travel booking
500118;9505;FR7612345987650123456789015;ES9121000418450200051333;150.00;EUR;2026-04-15 15:10:00;COMPLETED;MOBILE;ES;Neverland remedy reimbursement
500119;9509;DE12500105170648489896;PL28114020040000300201355393;8200.00;EUR;2026-04-15 15:40:00;COMPLETED;API;DE;Daily Planet retainer Q2
500120;9507;PL00114020040000300201355398;CZ6508000000192000145400;2500.00;CZK;2026-04-15 16:05:00;COMPLETED;WEB;CZ;Shire kettle order
